"Year","kappa","lo","hi"
2025,-3.9441736223851,-5.79721762859942,-2.09112961617079
2026,-4.33516723072615,-6.95576719598861,-1.7145672654637
2027,-4.7261608390672,-7.93572720649137,-1.51659447164303
2028,-5.11715444740825,-8.82324245983688,-1.41106643497963
2029,-5.5081480557493,-9.65168041894305,-1.36461569255556
2030,-5.89914166409035,-10.4381539502382,-1.36012937794255
2031,-6.2901352724314,-11.1928288813333,-1.3874416635295
2032,-6.68112888077245,-11.9223288112974,-1.43992895024754
2033,-7.0721224891135,-12.6312545077564,-1.51299047047056
2034,-7.46311609745455,-13.322955761615,-1.60327643329411
2035,-7.8541097057956,-13.9999613944255,-1.70825801716572
2036,-8.24510331413665,-14.664236048985,-1.82597057928831
2037,-8.6360969224777,-15.3173421025746,-1.95485174238078
2038,-9.02709053081875,-15.9605463246877,-2.09363473694979
2039,-9.4180841391598,-16.5948927150173,-2.24127556330229
2040,-9.80907774750085,-17.2212537723581,-2.3969017226436
2041,-10.2000713558419,-17.8403675223812,-2.55977518930258
2042,-10.5910649641829,-18.4528648599703,-2.72926506839558
2043,-10.982058572524,-19.0592901335459,-2.90482701150205
2044,-11.373052180865,-19.6601169072525,-3.08598745447755
