"Year","kappa_svd","kappa_adj"
2001,5.16420227872394,5.43967297780009
2002,4.29816480316927,4.63924947027084
2003,4.17979028406179,4.27675073739192
2004,3.76206779189951,4.01941356789917
2005,4.1692928227086,4.01245794294091
2006,2.94908524376079,2.40085794765827
2007,2.02888088509503,2.08547659445625
2008,1.90773056133519,1.67729207809546
2009,1.59213689944919,0.647265250732705
2010,0.114352744309693,0.0389903138063213
2011,0.515405833659437,0.335840827019078
2012,0.141194332449894,-0.342723979750362
2013,-1.17623976217245,-1.252389028214
2014,-1.08174111419571,-0.886596502772091
2015,-2.05020676850602,-1.74822815490319
2016,-1.53842850702746,-1.18866335601314
2017,-2.77548417768232,-2.21078564797197
2018,-2.81147037237079,-2.99136710773473
2019,-3.25625800006148,-3.44283191912343
2020,-4.24795236422893,-4.75303511204411
2021,-3.58307620899774,-3.77776065212423
2022,-2.66993033921352,-1.00813748086715
2023,-2.45119902933474,-2.12656428330291
2024,-3.18031783683116,-3.55318001404406
