"Age","alpha","beta"
"0",-5.36610320494745,0.044989527933409
"1-4",-8.25552237974206,0.109930582550245
"5-9",-8.92864726709739,0.0847636169584558
"10-14",-8.80771150431283,0.0457983996088721
"15-19",-7.83137366408083,0.053608196875655
"20-24",-7.54482986847947,0.0502823652667535
"25-29",-7.35629475331548,0.0754059192648982
"30-34",-7.00019471055285,0.0772108867074954
"35-39",-6.56345248628625,0.0630026290655375
"40-44",-6.12174263591977,0.0419059353212389
"45-49",-5.73049790049522,0.0254022042428609
"50-54",-5.37395665584519,0.0201777610249569
"55-59",-5.02827759886721,0.0291570746535331
"60-64",-4.65631043354606,0.0405822057074223
"65-69",-4.24620531485432,0.0518726153639103
"70-74",-3.76574202686771,0.0539181382042676
"75-79",-3.25005797742426,0.0452435692765779
"80-84",-2.69891957549681,0.0376477668082634
"85-89",-2.16863379991857,0.0249013435815054
"90-94",-1.6896489856768,0.016003416816359
"95-99",-1.29221802737958,0.00837504488556163
"100+",-0.884851648581447,-0.000179200117779132
