"method","MAE","MSE","MAE_h1","MAE_hH","ME_e0","MAE_e0","MAE_edag","drift","sex","start","panel"
"LC",0.119397962975975,0.0278840740505383,0.0604853117759399,0.146861463356672,-0.693093125789801,0.796933284002751,0.129802620279407,-0.52487111458053,"Female",2001,"F2001"
"LCP",0.118577867663047,0.0271370260359138,0.0610087798126254,0.14361896010866,-0.696545668344007,0.7976008186923,0.129469139826919,-0.510272425830886,"Female",2001,"F2001"
"LM",0.107994285609714,0.0195082229762972,0.0573516658993528,0.136272931494163,-0.683768347340077,0.791041382149996,0.103540673050598,-0.523100990717642,"Female",2001,"F2001"
"BMS",0.117189953401797,0.0270143503099856,0.0686048347956105,0.141166412720709,-0.63828243793796,0.74658468188403,0.129320381866342,-0.481353584551304,"Female",2001,"F2001"
"LCedag",0.0961546263961154,0.0159708952682258,0.0575772358398227,0.114688374903058,-0.571486150669639,0.694058416392065,0.0896018178380032,-0.418810755289652,"Female",2001,"F2001"
"MLCedag",0.0961548329097052,0.0159195778332176,0.0573436221710691,0.11420273026456,-0.574320568391178,0.696509596272327,0.0897102484444062,-0.420968909738997,"Female",2001,"F2001"
"LC",0.119687554890838,0.0276640021824946,0.0642832572031989,0.143757735161296,-0.675020288792805,0.787985180865078,0.0891926909990463,-0.524439396449217,"Female",1991,"F1991"
"LCP",0.119540360648642,0.0280298590500975,0.0680518684654551,0.141363083461009,-0.688416940951819,0.796080508569619,0.0960443188480575,-0.522002220149481,"Female",1991,"F1991"
"LM",0.106399023163149,0.0184721432192555,0.0565354684064096,0.132714820045304,-0.685638310057652,0.792855505689744,0.0929485095928797,-0.521625391997393,"Female",1991,"F1991"
"BMS",0.117189953401797,0.0270143503099856,0.0686048347956105,0.141166412720709,-0.63828243793796,0.74658468188403,0.129320381866342,-0.481353584551304,"Female",1991,"F1991"
"LCedag",0.0991903845667947,0.0164455295835823,0.0569732271551186,0.118843430623657,-0.613841812878994,0.730827343392267,0.0839220236072368,-0.456772010797396,"Female",1991,"F1991"
"MLCedag",0.0987960061405049,0.0163047205839748,0.0568211297570247,0.117845019964576,-0.613279044224242,0.730331416054673,0.0847100570975599,-0.456198271642192,"Female",1991,"F1991"
"LC",0.116287716617164,0.0240974015959872,0.0602656456481665,0.13938401128848,-0.666537351175907,0.779360750286577,0.0876643448303987,-0.508073055823629,"Female",1981,"F1981"
"LCP",0.111543735863112,0.0214649536286827,0.0588640981096716,0.132287498310986,-0.68352806767993,0.789370913187196,0.0975986126977389,-0.50067119765168,"Female",1981,"F1981"
"LM",0.105657098665259,0.0180225515765114,0.0570512161688795,0.130577747568885,-0.680774805416397,0.788656525190996,0.0915817591406625,-0.512222273101152,"Female",1981,"F1981"
"BMS",0.117189953401797,0.0270143503099856,0.0686048347956105,0.141166412720709,-0.63828243793796,0.74658468188403,0.129320381866342,-0.481353584551304,"Female",1981,"F1981"
"LCedag",0.119386826157536,0.0221425195247974,0.0557389376387758,0.15693625992128,-0.823382698388301,0.911745253962985,0.113948098132954,-0.628199727451686,"Female",1981,"F1981"
"MLCedag",0.120153373756536,0.0223222035177146,0.0556618660713335,0.158458113620619,-0.839021358887905,0.925241012318659,0.117059450742825,-0.634895883728779,"Female",1981,"F1981"
"LC",0.13002664311595,0.0279635461707343,0.0659808974764706,0.159160660829276,-0.705120688975728,0.79732890708097,0.129258882489637,-0.515071867375893,"Female",1971,"F1971"
"LCP",0.134191135698029,0.0312899044972325,0.0758792489428767,0.160637455402738,-0.751300498848255,0.827272586766313,0.151101494838614,-0.519492606258202,"Female",1971,"F1971"
"LM",0.106134610929216,0.0182282377771028,0.0580317503572594,0.131709997706999,-0.659312774600096,0.770038422323046,0.0956933004596085,-0.513440249447092,"Female",1971,"F1971"
"BMS",0.117189953401797,0.0270143503099856,0.0686048347956105,0.141166412720709,-0.63828243793796,0.74658468188403,0.129320381866342,-0.481353584551304,"Female",1971,"F1971"
"LCedag",0.117173088398446,0.0215528904470248,0.0569708064408291,0.152334401954506,-0.771040612304202,0.86643604808493,0.116217575461454,-0.607951552397882,"Female",1971,"F1971"
"MLCedag",0.115242933880533,0.0211525011426984,0.0571149512454083,0.148497961153282,-0.756596040249406,0.853967409712436,0.113984222072722,-0.591071212872498,"Female",1971,"F1971"
"LC",0.123191344894669,0.0246944172413528,0.0722398307691497,0.1410582585784,-0.703982733465924,0.855471778116944,0.102081666619752,-0.456642880555558,"Male",2001,"M2001"
"LCP",0.126584295884259,0.0264819833331392,0.0788878552846814,0.146969993043691,-0.711774047282549,0.855075789454801,0.09873874169378,-0.437710693594247,"Male",2001,"M2001"
"LM",0.106223562398703,0.0213290446532215,0.0592767390008448,0.12773923175479,-0.745616806836614,0.882321700002734,0.094865799025812,-0.462996836298181,"Male",2001,"M2001"
"BMS",0.111346578746651,0.0216629869736932,0.0666257818310818,0.130635230022997,-0.685797000402135,0.829123134847993,0.180792989544608,-0.415249717865176,"Male",2001,"M2001"
