"Age","alpha","beta_ref","beta_unpen","beta_pen"
"0",-5.1267117959474,0.0653660345475447,0.0577885546681055,0.0579082383723059
"1-4",-7.63938180418787,0.12482657934709,0.11312115796483,0.113925751678217
"5-9",-8.47640672982196,0.0817945807161351,0.0643992359018653,0.0663785271394989
"10-14",-8.48891259311253,0.066946548293359,0.0539202189892408,0.0558334820519271
"15-19",-7.85678910661938,0.0524980321968179,0.0492468398576841,0.0500724236437456
"20-24",-7.62342839450563,0.0545155721528724,0.049741321869333,0.0503099963675256
"25-29",-7.47049852338269,0.0508093067182364,0.045679268198851,0.0461786316427376
"30-34",-7.20327542381964,0.0412882569696676,0.0417957939163421,0.0412882569696676
"35-39",-6.85832878839533,0.0339954770941685,0.0403194604053271,0.0396413118191219
"40-44",-6.46568864899838,0.028347939804905,0.0380958435360005,0.0375403077024513
"45-49",-6.0409331085302,0.0272364840040363,0.0385394087539409,0.0380583714938673
"50-54",-5.6079984570182,0.0308818504540497,0.0407431455549912,0.0403002337851862
"55-59",-5.18477725710787,0.0369316136980517,0.044913425024167,0.044480482601936
"60-64",-4.71849742550133,0.0435988831732514,0.0488061703969522,0.0483744156324932
"65-69",-4.20645983331059,0.0498327099086155,0.0534306270965756,0.0529853246893417
"70-74",-3.66346453228574,0.0498228583970322,0.0519256835457896,0.0515012622551348
"75-79",-3.11119345815561,0.0458203963845049,0.0476399506649512,0.0472464176374209
"80-84",-2.54121421333646,0.0408650397891991,0.0416421866256685,0.0412838458347772
"85-89",-2.02628397234907,0.0302184635274702,0.0314887166280979,0.0311846524487108
"90-94",-1.57099915898207,0.0199468524942204,0.0213454042638981,0.0210515459051616
"95-99",-1.17879796326266,0.0142699501662279,0.0147442988138689,0.0142699501662279
"100+",-0.788356625258009,0.0101865701625442,0.0106732873235194,0.0101865701625442
