"lambda","frac","deviance","nfree","iter","bic","aic"
31212.3190557976,1,4645.67309816947,0,5,4921.51333465255,4733.67309816947
20790.0459610361,0.666084629080916,4096.32333703479,4,6,4397.23995865269,4192.32333703479
13847.9300525319,0.443668733097861,3282.04639116468,4,6,3582.96301278258,3378.04639116468
9223.89335257921,0.295520923520289,2766.00493938912,6,6,3079.45975357443,2866.00493938912
6143.89358243464,0.196841944728661,2369.02621973732,9,7,2701.28832277376,2475.02621973732
4092.3530779686,0.131113393742156,2103.84022653729,9,8,2436.10232957372,2209.84022653729
2725.85348200686,0.0873326162382843,1974.09526409207,9,10,2306.3573671285,2080.09526409207
1815.64910549146,0.0581709132937436,1884.48689471327,11,18,2229.28719031711,1994.48689471327
1209.37596097238,0.0387467512045613,1744.88219150425,12,18,2095.9515833918,1856.88219150425
805.546738383662,0.0258086154041808,1681.44502700292,14,20,2045.05261145789,1797.44502700292
536.562300443623,0.0171907220185857,1644.29101597598,16,24,2020.43679299835,1764.29101597598
357.395900869793,0.0114504756993828,1622.94108100411,18,31,2011.62505059389,1746.94108100411
238.055916065896,0.00762698585902345,1613.25528740501,19,33,2008.20835327851,1739.25528740501
158.56538655327,0.00508021804691302,1608.65092058194,19,32,2003.60398645544,1734.65092058194
105.617966687407,0.00338385515342823,1606.66242676697,19,31,2001.61549264046,1732.66242676697
70.350504165262,0.00225393390473479,1605.79546125089,19,30,2000.74852712438,1731.79546125089
46.8593894725739,0.00150131072890817,1605.34128189752,20,30,2006.56344405472,1733.34128189752
31.2123190557976,0.001,1605.13168039804,20,30,2006.35384255524,1733.13168039804
