"N","frac","lambda_max_med","nrep_ok","bias2","variance","mse","mse_med","cor_med"
50000,0,245.190872173017,100,0.0023939094955205,0.159783863604565,0.16057993446404,0.0706156521471567,0.353486939752388
50000,0.003,245.190872173017,100,0.000690475258075532,0.083521858619744,0.0833771152916221,0.0507843975034295,0.372414752664657
50000,0.01,245.190872173017,100,0.00067455336420776,0.0528114837353567,0.0529579222622109,0.0357365554381734,0.374371602066591
50000,0.03,245.190872173017,100,0.00198616836171882,0.0259256207307215,0.0276525328851331,0.020698751917966,0.359260839811887
50000,0.1,245.190872173017,100,0.00647850371501841,0.00511941459271356,0.0115467241618048,0.0106754084449725,0.328971312908602
50000,0.2,245.190872173017,100,0.00854443448873557,0.00157495608400193,0.0101036410118975,0.00991416427342338,NA
50000,0.4,245.190872173017,100,0.00972975425718432,0.000404944558703101,0.0101306493703004,0.0102100875520163,NA
50000,0.7,245.190872173017,100,0.0104880463263522,4.7938178605499e-05,0.0105355051231717,0.0106754084449725,NA
50000,1,245.190872173017,100,0.010659638408566,2.76121002111118e-06,0.0106623720064869,0.0106754084449725,NA
2e+05,0,665.49416975147,100,0.000240419184662812,0.0169098209183505,0.0169811418938298,0.0149057011833977,0.711161417633837
2e+05,0.003,665.49416975147,100,0.000114782572091533,0.0143895453004453,0.0143604324195324,0.012568045045361,0.724486594589526
2e+05,0.01,665.49416975147,100,0.000148945818022024,0.0106203079833769,0.0106630507215652,0.0092307654619109,0.726400938523839
2e+05,0.03,665.49416975147,100,0.00147169728425555,0.00560089581216212,0.00701658413829605,0.00662173991716116,0.703101702118014
2e+05,0.1,665.49416975147,100,0.00707203378047775,0.00101860124435191,0.00808044901238614,0.00828529871664892,0.486136476704355
2e+05,0.2,665.49416975147,100,0.00832307441478009,0.000417853239815183,0.00873674912219712,0.00864648125742935,0.451237563712017
2e+05,0.4,665.49416975147,100,0.00947697507027909,0.000154530048007044,0.00962995981780606,0.00960727503534119,0.359751743655999
2e+05,0.7,665.49416975147,100,0.0104667859575632,1.63734037486784e-05,0.0104829956272744,0.0105330253144573,0.273014922676532
2e+05,1,665.49416975147,100,0.0106754084449725,4.31437488299474e-33,0.0106754084449725,0.0106754084449725,0.19384005900161
