"method","N","nrep_ok","variance","bias2","mse"
"未懲罰",20000,100,4.39123079173614,0.0387003606212475,4.38601884444003
"未懲罰",50000,100,0.213926341857385,0.00303541964167876,0.21482249808049
"未懲罰",1e+05,100,0.0526064081975889,0.000956547346066294,0.0530368914616793
"未懲罰",2e+05,100,0.0183939895557067,0.000227345266113612,0.0184373949262632
"未懲罰",5e+05,100,0.00655319454136311,8.35176494535995e-05,0.00657118024540308
"未懲罰",1e+06,100,0.0029887377839026,3.41228020449409e-05,0.00299297320810851
"LASSO(frac=0.10)",20000,100,0.0223395695081238,0.00645079831675823,0.0285669721298008
"LASSO(frac=0.10)",50000,100,0.00600950169035171,0.00590912850902685,0.011858535182475
"LASSO(frac=0.10)",1e+05,100,0.00210360703013891,0.00684130280089718,0.0089238737607347
"LASSO(frac=0.10)",2e+05,100,0.00091284374526492,0.00721763048514554,0.00812134579295781
"LASSO(frac=0.10)",5e+05,100,0.000335531633494511,0.0074352434196027,0.00776741973676227
"LASSO(frac=0.10)",1e+06,100,0.000149715016845107,0.00760057625627258,0.00774879412294924
