"age","beta0","beta_unpen","beta_lasso","beta_enet","beta_ridge","diff_lasso","diff_ridge","snapped"
"0",0.0454545454545455,0.0496210904965099,0.0454545454545454,0.0454545454545455,0.0501582322379429,-0.00416654504196442,0.00053714174143301,"是"
"1-4",0.0454545454545455,0.106629895804033,0.0454545454545454,0.060906184308793,0.0660510203587675,-0.0611753503494871,-0.0405788754452651,"是"
"5-9",0.0454545454545455,0.0697584411026591,0.0454545454545454,0.0454545454545455,0.0539942910638533,-0.0243038956481136,-0.0157641500388058,"是"
"10-14",0.0454545454545455,0.0442576162230555,0.0454545454545454,0.0454545454545455,0.048484186971589,0.00119692923148997,0.00422657074853355,"是"
"15-19",0.0454545454545455,0.0578364459360931,0.0454545454545454,0.0454545454545455,0.0531206205965593,-0.0123819004815477,-0.00471582533953385,"是"
"20-24",0.0454545454545455,0.0440027350734066,0.0454545454545454,0.0454545454545455,0.0472510814255354,0.00145181038113883,0.00324834635212878,"是"
"25-29",0.0454545454545455,0.0483737347454517,0.0454545454545454,0.0454545454545455,0.049371534754134,-0.00291918929090629,0.00099780000868227,"是"
"30-34",0.0454545454545455,0.0452865498928696,0.0454545454545454,0.0454545454545455,0.0473920200342023,0.00016799556167589,0.00210547014133274,"是"
"35-39",0.0454545454545455,0.0393974772381347,0.0454545454545454,0.0454545454545455,0.0428288748180718,0.00605706821641078,0.00343139757993715,"是"
"40-44",0.0454545454545455,0.0327886981852224,0.0454545454545454,0.0432121950140763,0.0367641728063957,0.0126658472693231,0.00397547462117335,"是"
"45-49",0.0454545454545455,0.0260715983749366,0.0386568802904854,0.0337690529391087,0.0302276677525779,0.0125852819155488,0.00415606937764125,""
"50-54",0.0454545454545455,0.0289537379938635,0.0389017221372726,0.035214857664344,0.032068782972904,0.00994798414340907,0.00311504497904047,""
"55-59",0.0454545454545455,0.0441701241415009,0.0454545454545454,0.0454545454545455,0.0456639434392771,0.00128442131304458,0.00149381929777625,"是"
"60-64",0.0454545454545455,0.0561310256285153,0.0546450237747504,0.0570047709870589,0.0567566368046527,-0.00148600185376486,0.000625611176137429,""
"65-69",0.0454545454545455,0.0685986833945604,0.0686866313813186,0.0704543188132063,0.0689306597310814,8.79479867581245e-05,0.000331976336520948,""
"70-74",0.0454545454545455,0.0668319095348882,0.0674637004150147,0.0688809294255262,0.0674590725096673,0.000631790880126479,0.000627162974779036,""
"75-79",0.0454545454545455,0.0527503875089452,0.0531493450905363,0.0543331918902574,0.0537283952799424,0.000398957581591072,0.000978007770997234,""
"80-84",0.0454545454545455,0.043902164078234,0.0454545454545454,0.0454545454545455,0.0450604154597134,0.00155238137631149,0.00115825138147949,"是"
"85-89",0.0454545454545455,0.0318932213590417,0.0356948306830373,0.0347372597525498,0.0332886692344587,0.00380160932399559,0.00139544787541697,""
"90-94",0.0454545454545455,0.021455779768074,0.0263619809449637,0.0247227414810619,0.0236151779581664,0.00490620117688971,0.00215939819009243,""
"95-99",0.0454545454545455,0.0134609601592023,0.0255307943735301,0.0206846171692698,0.019356238122838,0.0120698342143278,0.00589527796363565,""
"100+",0.0454545454545455,0.00782772336080286,0.0454545454545454,0.0415344260092933,0.0284283056676694,0.0376268220937426,0.0206005823068665,"是"
