"T","N","nok","degen_rate","sse_unpen","cor_unpen","sse_pen","cor_pen","drift_bias_unpen"
10,20000,100,0.81,0.0070021276391475,0.247002941487016,0.0070021276391475,0.195974097052355,0.0377476104614736
15,20000,100,0.53,0.0070021276391475,0.187859645939516,0.0070021276391475,0.162401899122979,-0.0276825214153424
20,20000,100,0.22,0.559010798954545,0.178227696472495,0.0070021276391475,0.165873327838257,-0.0450458348805495
30,20000,100,0,0.0767046511394617,0.323401958453655,0.00838264823096255,0.228387962562947,0.0113569976507558
40,20000,100,0,0.0266963531967028,0.50756883801101,0.00679680969311624,0.295308179952277,-0.0172224285536573
55,20000,100,0,0.00704082768560184,0.7457470406852,0.00397745654710485,0.699105731145963,0.0024950206959386
10,50000,100,0.27,0.570111175539642,0.156366544129525,0.0070021276391475,0.173218270693764,0.0305246617127557
15,50000,100,0.04,0.847663119353012,0.190697657497123,0.0070021276391475,0.141899068388355,0.140851304162948
20,50000,100,0,0.357000733672193,0.217049440577673,0.0142159867578181,0.165359684455132,0.102636692027987
30,50000,100,0,0.0190577058222338,0.592844636300481,0.00657072330530297,0.32057451774337,-0.000767062305655986
40,50000,100,0,0.00712956378404822,0.724900339997857,0.00581814197857796,0.42092416118681,0.00262146713228459
55,50000,100,0,0.00245758176404011,0.874140655834211,0.00348973449847654,0.772780875126899,0.00434462925678783
10,2e+05,100,0,1.65930254812249,0.169766966597203,0.0730820249484199,0.183390319141952,0.0299293379326507
15,2e+05,100,0,0.158667883784691,0.225632064396944,0.0120463292021735,0.147718162303381,0.0227809191784276
20,2e+05,100,0,0.0309254385419482,0.406970473961504,0.00689870736555436,0.295672742865453,0.00765502510480726
30,2e+05,100,0,0.00459374252955205,0.784700945945126,0.00573381875276183,0.432478163031713,0.00823194631232382
40,2e+05,100,0,0.00195686758588573,0.899152734641998,0.00472987070276475,0.636717297416513,0.00358722478183293
55,2e+05,100,0,0.000582158304099151,0.96611276280467,0.00311532079955944,0.827213155746267,0.001101234941629
10,1e+06,100,0,0.491728954914461,0.120135323141079,0.0221490925076779,0.203141270996947,0.0180576745281348
15,1e+06,100,0,0.0287709577988701,0.464807959783179,0.00653065400415895,0.345919810830383,0.00647765534727052
20,1e+06,100,0,0.00580846364597263,0.760325219264177,0.0058313492960122,0.414818453972806,0.00811457241851274
30,1e+06,100,0,0.000869809983745675,0.952168130512356,0.00475790276235331,0.635838855904501,0.00372114084651667
40,1e+06,100,0,0.000363860008505603,0.977499863611558,0.00433557946270479,0.721900773377991,-0.00104903806012396
55,1e+06,100,0,0.000136679721597938,0.991317784682765,0.00304358881436188,0.833357973321295,-0.000921355754861658
