"method","frac","nrep","bias2","variance","mse"
"LASSO",0.003,100,0.000259184733943252,0.0138684668355491,0.0139889669011368
"LASSO",0.01,100,0.000476964324015643,0.00998558833526768,0.0103626967759306
"LASSO",0.03,100,0.00218645658048878,0.00483909781994933,0.00697716342223861
"LASSO",0.1,100,0.00726559616786037,0.000953354452857342,0.00820941707618914
"LASSO",0.2,100,0.00828926087156373,0.000428183422133219,0.00871316245947561
"LASSO",0.4,100,0.00947140884204341,0.000161677712532443,0.00963146977745053
"Elastic Net",0.003,100,0.000254447899191606,0.0149616156875443,0.0150664474298605
"Elastic Net",0.01,100,0.000303542399017435,0.0123332368910356,0.0125134469211427
"Elastic Net",0.03,100,0.000821388292579105,0.00790532474277167,0.00864765978792306
"Elastic Net",0.1,100,0.0046301262207287,0.00255353779704682,0.00715812863980506
"Elastic Net",0.2,100,0.0072990106159978,0.000920038972683605,0.00820984919895457
"Elastic Net",0.4,100,0.0083083558078287,0.000416114892767017,0.00872030955166805
"adaptive LASSO",0.003,100,0.000268393576249222,0.0160078428544334,0.0161161580021383
"adaptive LASSO",0.01,100,0.00026739634401426,0.0151896120256782,0.0153051122494356
"adaptive LASSO",0.03,100,0.000312771051400584,0.0136222391453613,0.0137987878053082
"adaptive LASSO",0.1,100,0.000726489236877073,0.0105317182765948,0.011152890330706
"adaptive LASSO",0.2,100,0.00155111354710316,0.00795049534961205,0.00942210394321908
"adaptive LASSO",0.4,100,0.0031320291456146,0.00532099852109205,0.00839981768149572
"relaxed LASSO",0.003,100,0.000269230254117432,0.0163819029361845,0.0164873141609401
"relaxed LASSO",0.01,100,0.00026055450033234,0.015922693887949,0.0160240214494018
"relaxed LASSO",0.03,100,0.000375088867735651,0.0138235343185052,0.0140603878430558
"relaxed LASSO",0.1,100,0.00573937597686992,0.00446802736129033,0.0101627230645473
"relaxed LASSO",0.2,100,0.00733456740245597,0.00191941369175802,0.00923478695729641
"relaxed LASSO",0.4,100,0.00804067771428727,0.00123895062020092,0.00926723882828617
"MCP",0.003,100,0.000259753208179926,0.0139072470549768,0.014027927792607
"MCP",0.01,100,0.000475511076806185,0.0100058297348799,0.0103812825143373
"MCP",0.03,100,0.0021845661640087,0.00484450451016621,0.00698062562907325
"MCP",0.1,100,0.0072657562124151,0.000953524882493496,0.00820974584608366
"MCP",0.2,100,0.00828915261260255,0.000428243864209769,0.00871311403817022
"MCP",0.4,100,0.00947138471072302,0.000161689255162319,0.00963145707333371
