"資料","項目","數值"
"全國女性（1187 萬）","最小單年死亡中位數","69"
"全國女性（1187 萬）","死亡數跨年齡落差（倍）","150"
"全國女性（1187 萬）","零死亡格比例（%）","0.0"
"全國女性（1187 萬）","零格最集中的年齡","無"
"全國女性（1187 萬）","噪音變異跨度（數量級）","2.0"
"全國女性（1187 萬）","s1","3.44"
"全國女性（1187 萬）","噪音上緣","0.53"
"全國女性（1187 萬）","s1 / 上緣","6.53"
"全國女性（1187 萬）","sigma 來源","預備配適的 mu_hat（建議）"
"全國女性（1187 萬）","判讀","訊號充分：beta 用 SVD 亦可"
"模擬 20 萬","最小單年死亡中位數","1"
"模擬 20 萬","死亡數跨年齡落差（倍）","298"
"模擬 20 萬","零死亡格比例（%）","4.4"
"模擬 20 萬","零格最集中的年齡","10-14"
"模擬 20 萬","噪音變異跨度（數量級）","2.3"
"模擬 20 萬","s1","4.96"
"模擬 20 萬","噪音上緣","4.17"
"模擬 20 萬","s1 / 上緣","1.19"
"模擬 20 萬","sigma 來源","預備配適的 mu_hat（建議）"
"模擬 20 萬","判讀","邊緣：方法選擇效益最大，用卜瓦松/Firth + FH"
"模擬 5 萬","最小單年死亡中位數","0"
"模擬 5 萬","死亡數跨年齡落差（倍）","72"
"模擬 5 萬","零死亡格比例（%）","18.8"
"模擬 5 萬","零格最集中的年齡","1-4"
"模擬 5 萬","噪音變異跨度（數量級）","1.7"
"模擬 5 萬","s1","4.23"
"模擬 5 萬","噪音上緣","9.80"
"模擬 5 萬","s1 / 上緣","0.43"
"模擬 5 萬","sigma 來源","預備配適的 mu_hat（建議）"
"模擬 5 萬","判讀","不可還原：不要估 beta，只報 alpha（Firth）與區間"
