"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
10000,"mle","0",0.5,300,-Inf,NA,-0.0302174600181796,0.267805423829823,-5.45110163120714,0.0469011555088597,NA,-0.112833637146129
10000,"mle","1-4",3,300,-Inf,NA,0.0412506900790324,0.593057849813105,-8.35609607853327,0.110675808277358,NA,0.0695559296484012
10000,"mle","5-9",7.5,300,-Inf,NA,-0.0142524032400588,0.63851446118972,-9.01766599546062,0.0784767136680064,NA,-0.0223211909930793
10000,"mle","10-14",12.5,300,-Inf,NA,0.070626099650734,0.62639419507835,-8.97039257582296,0.0422887499214844,NA,0.112750246100062
10000,"mle","15-19",17.5,300,-Inf,NA,0.00168239552869111,0.468987106236912,-8.29682640500956,0.0520233944118369,NA,0.00358729591137466
10000,"mle","20-24",22.5,300,-Inf,NA,0.000189994584734295,0.389610245745956,-8.02520213588412,0.0438271188339472,NA,0.000487652947551538
10000,"mle","25-29",27.5,300,-Inf,NA,0.00987242651829097,0.295614480902143,-7.83699538879676,0.0505899039281294,NA,0.0333962885991334
10000,"mle","30-34",32.5,300,-Inf,NA,0.0512671784476196,0.660636649789337,-7.52476319010437,0.0468341571333686,NA,0.0776026859302577
10000,"mle","35-39",37.5,300,-Inf,NA,-0.0168534309687771,0.150436644635106,-7.16673672016926,0.0394017280956176,NA,-0.112030090870853
10000,"mle","40-44",42.5,300,-Inf,NA,-0.000189468641072131,0.115385170814549,-6.75402026895997,0.0329677363497863,NA,-0.00164205365156197
10000,"mle","45-49",47.5,300,-Inf,NA,0.00246151743056688,0.10523325377053,-6.34155460245041,0.025950079978389,NA,0.0233910607376489
10000,"mle","50-54",52.5,300,-Inf,NA,-0.00777251474299422,0.101401609038716,-5.93101826830349,0.0287499471299496,NA,-0.0766508028489625
10000,"mle","55-59",57.5,300,-1.09845194016032,15.1909358701352,-0.0181835305729065,0.148465378855242,-5.5431915265717,0.0445772840877155,-0.0723096950412272,-0.122476571394035
10000,"mle","60-64",62.5,300,-0.973653066601284,11.820591726773,-0.0220203000898129,0.0812043455850629,-5.10551938327063,0.0562673346856074,-0.0823692323622016,-0.271171449399173
10000,"mle","65-69",67.5,300,-0.455136807587692,5.31528447515198,-0.0193999231059071,0.124871058873641,-4.62531761703246,0.0678324947554817,-0.0856279301165115,-0.15535964282595
10000,"mle","70-74",72.5,300,-0.400922088259459,5.29831166423948,-0.021994620217551,0.110209398550862,-4.07182736488224,0.0650219890413153,-0.0756697819355266,-0.199571184551928
10000,"mle","75-79",77.5,300,-0.167400460517192,2.32186313354412,-0.0199600234700987,0.0591738974872641,-3.49607909020242,0.0514850010931134,-0.072097471250026,-0.337311286186526
10000,"mle","80-84",82.5,300,-0.246635413970514,2.88643103049845,-0.00595141729817411,0.0874093716136972,-2.88002144208942,0.0428678086215171,-0.0854464947766041,-0.0680867187156568
10000,"mle","85-89",87.5,300,-0.18269593559374,2.29150512152594,-0.0180390763613541,0.282125325795674,-2.28563093161235,0.0324055997576375,-0.0797274829881593,-0.0639399398493516
10000,"mle","90-94",92.5,300,-0.197541843495588,2.63562578412567,0.00751047274690563,0.067208268742119,-1.74976839172068,0.0223293502930381,-0.0749506415840137,0.111749236923862
10000,"mle","95-99",97.5,300,-1.01494178759998,10.9857768837844,0.0234705234089249,0.150927897656779,-1.30567837065216,0.0127171967751866,-0.0923868924643911,0.155508184857239
10000,"mle","100+",102.5,300,-Inf,NA,-0.0134971296686135,0.304827099635524,-0.884547892930226,0.0058094476526544,NA,-0.0442779847485731
20000,"mle","0",0.5,300,-0.263190338564774,1.50858972860726,-0.0225674324551326,0.364074232455884,-5.45110163120714,0.0469011555088597,-0.174461176272063,-0.0619857997170047
20000,"mle","1-4",3,300,-Inf,NA,-0.0302862483408774,0.835674773723114,-8.35609607853327,0.110675808277358,NA,-0.0362416687606179
20000,"mle","5-9",7.5,300,-Inf,NA,0.00955742923340748,0.999461717562815,-9.01766599546062,0.0784767136680064,NA,0.00956257660044573
