"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
10000,"svd","0",0.5,1000,0.648579782408314,0.0810800516023098,-0.171813330609126,1.64755566420712,-5.45110163120714,0.0469011555088597,7.99925221544675,-0.104283778898487
10000,"svd","1-4",3,1000,1.86032600145921,0.0429793672768544,-0.237679177961598,1.08401334373286,-8.35609607853327,0.110675808277358,43.2841644567682,-0.219258535271471
10000,"svd","5-9",7.5,1000,2.17088589267664,0.0385125021199677,-0.294546129760915,2.24293792659916,-9.01766599546062,0.0784767136680064,56.3683420494015,-0.131321569923034
10000,"svd","10-14",12.5,1000,2.03536529153376,0.0392546926632278,-0.258892224197099,1.89134199282161,-8.97039257582296,0.0422887499214844,51.8502414219743,-0.136882819278426
10000,"svd","15-19",17.5,1000,1.31028861367989,0.0563688772618959,-0.236600638837803,2.22578375696019,-8.29682640500956,0.0520233944118369,23.2448946533412,-0.10629992158849
10000,"svd","20-24",22.5,1000,0.962107383487239,0.0686770830998957,-0.167150581478521,1.3069292511046,-8.02520213588412,0.0438271188339472,14.0091474486152,-0.127895661786778
10000,"svd","25-29",27.5,1000,0.744820793054607,0.0791837332640604,-0.120372970546961,1.37233012271857,-7.83699538879676,0.0505899039281294,9.40623487112931,-0.0877142959658306
10000,"svd","30-34",32.5,1000,0.474627127152677,0.0885534239421686,-0.0649157589714588,1.24226525639755,-7.52476319010437,0.0468341571333686,5.35978289741389,-0.0522559563162125
10000,"svd","35-39",37.5,1000,0.202274180748086,0.103199426439276,-0.0528114491621707,1.79718270950291,-7.16673672016926,0.0394017280956176,1.96003202466544,-0.0293856873221188
10000,"svd","40-44",42.5,1000,-0.0140115529918763,0.126663663797869,0.0230934678913133,2.45175505609716,-6.75402026895997,0.0329677363497863,-0.110620146076274,0.00941915785342554
10000,"svd","45-49",47.5,1000,-0.137754490982498,0.134344315787316,-0.0915890107051625,4.15861657350035,-6.34155460245041,0.025950079978389,-1.02538384430482,-0.0220239132621142
10000,"svd","50-54",52.5,1000,-0.185639412437765,0.145013960857307,-0.0992895582491206,5.83352697651726,-5.93101826830349,0.0287499471299496,-1.28014855494109,-0.0170205021162684
10000,"svd","55-59",57.5,1000,-0.179665884419995,0.138831342385681,0.330499005254725,3.34142558913285,-5.5431915265717,0.0445772840877155,-1.29413057118524,0.0989095810870637
10000,"svd","60-64",62.5,1000,-0.170996199504962,0.131670509515868,0.319295833169402,3.95204072826852,-5.10551938327063,0.0562673346856074,-1.29866740953376,0.0807926474252944
10000,"svd","65-69",67.5,1000,-0.151561128626261,0.120114799489973,0.170428797311531,1.66260872245215,-4.62531761703246,0.0678324947554817,-1.26180228639447,0.102506858655336
10000,"svd","70-74",72.5,1000,-0.109855156359073,0.104953535317547,0.132292953290271,2.51218487488563,-4.07182736488224,0.0650219890413153,-1.04670277210477,0.0526605165936659
10000,"svd","75-79",77.5,1000,-0.0807603041542642,0.0888887504408831,0.069562616659545,0.936083998715548,-3.49607909020242,0.0514850010931134,-0.908554836846032,0.074312365936172
10000,"svd","80-84",82.5,1000,-0.0663372455390094,0.0784816735661011,-0.0163833874818896,1.27094160208062,-2.88002144208942,0.0428678086215171,-0.845257784712465,-0.0128907476591125
10000,"svd","85-89",87.5,1000,-0.0719594355728463,0.0827770383835747,0.0546852157569676,1.05581202637936,-2.28563093161235,0.0324055997576375,-0.869316382634983,0.0517944618839933
10000,"svd","90-94",92.5,1000,-0.121113649653065,0.110211166106952,-0.0078901162956348,2.38277826983005,-1.74976839172068,0.0223293502930381,-1.0989235839818,-0.00331130948923652
10000,"svd","95-99",97.5,1000,-0.109589179843114,0.132674505654233,0.108009504736274,2.03050252828479,-1.30567837065216,0.0127171967751866,-0.826000287717048,0.0531934844855931
