"N","zero_cells","estimator","nrep","bias_a_med","max_abs_bias_a","sse_b_med","sse_b_bias","diverge_rate","cor_b","drift_bias","label"
20000,156.71,"A",400,-0.0362342645943203,1.51531306552955,0.513390017989261,0.154776625795033,0.035,-0.232558190266722,0.273294270841554,"A 標準 LC"
20000,156.71,"B",400,0.156919977361271,2.45281306552955,0.474586488375576,0.420134595141966,0,-0.428086991777164,0.200852711711274,"B +Jensen 校正"
20000,156.71,"C",400,0.196657325875349,1.56814367422762,0.221736899914097,0.10942391156933,0.0075,-0.20187993511632,0.193531861844206,"C 加權 SVD"
20000,156.71,"D",400,-0.0336914010544946,0.533352675224055,0.516976272650224,0.0125326366395431,0.0325,0.257045095848014,-0.0775382221719413,"D 卜瓦松 MLE"
20000,156.71,"E",400,-0.000224505367410144,0.0430164313915995,1.1481843798953,0.232231135683357,0.0575,0.267845097902127,0.348521768767948,"E 高斯對照（只剩訊噪比）"
50000,89.9225,"A",400,-0.0370654320913175,0.74342799627205,0.409209689035146,0.0659354558962941,0.0475,-0.0723390019149121,0.305044624384928,"A 標準 LC"
50000,89.9225,"B",400,0.0114942923913617,1.58717799627205,0.236433359430428,0.180499928036046,0,-0.364609701976401,0.198528440635349,"B +Jensen 校正"
50000,89.9225,"C",400,0.0889183156619415,0.902376349066961,0.0877277441986012,0.0343243273772407,0,0.0296147557131267,0.140740514985145,"C 加權 SVD"
50000,89.9225,"D",400,-0.0107081853050013,0.156133291700513,0.071354949558036,0.000281188489004524,0.0025,0.407735996650125,0.0114173324581319,"D 卜瓦松 MLE"
50000,89.9225,"E",400,0.000839846244149012,0.0208872307817103,0.921345594850081,0.19601530833757,0.065,0.265992957600543,0.34738787049909,"E 高斯對照（只剩訊噪比）"
2e+05,21.7275,"A",400,-0.0214252524186558,0.168699357928162,0.0612612723294235,0.00960260750047251,0.03,0.507172826529305,0.175437571148408,"A 標準 LC"
2e+05,21.7275,"B",400,0.00279929869165263,0.494278787080914,0.0479712993393994,0.0186993502887933,0,0.207039929558105,0.155390115347036,"B +Jensen 校正"
2e+05,21.7275,"C",400,0.0322079537215325,0.370474225858725,0.0155315530203493,0.00368579575264414,0,0.507302433288452,0.0714843050159806,"C 加權 SVD"
2e+05,21.7275,"D",400,-0.000773092495312544,0.0357637025516855,0.0146309976357998,6.95588653858028e-05,0,0.664808938377794,0.00448539817230414,"D 卜瓦松 MLE"
2e+05,21.7275,"E",400,0.000786451846936931,0.0136028001967841,0.14854077366509,0.0443597934808801,0.03,0.470225054413226,0.259329029786398,"E 高斯對照（只剩訊噪比）"
1e+06,0.3725,"A",400,-0.0043506566709326,0.0863526740162275,0.0097698354680919,0.00292001249228382,0,0.84192103530334,0.0254558222328494,"A 標準 LC"
1e+06,0.3725,"B",400,0.000209154426286551,0.02873464100451,0.00506425596025483,0.00085344960861351,0,0.876924761243793,0.0229163673618289,"B +Jensen 校正"
1e+06,0.3725,"C",400,0.00613466610105906,0.223111912575705,0.00301447556063498,0.00100039010859391,0,0.862320010479359,0.0375892195264304,"C 加權 SVD"
1e+06,0.3725,"D",400,-0.00048330801338814,0.00574578023065975,0.00263653557862007,1.28947176830483e-05,0,0.907113801177204,0.000579805383270238,"D 卜瓦松 MLE"
1e+06,0.3725,"E",400,0.000314814606059866,0.0163310449261793,0.00515781311746332,0.00103363210937717,0,0.87821653529131,0.0239391817976989,"E 高斯對照（只剩訊噪比）"
