"N","年齡","期望死亡中位","零格比例","A 標準 LC","B 加權SVD(w=mu)","C 卜瓦松 MLE","D Firth","E Firth+FH"
10000,"0",0.2,0.786,0.9577,0.9585,-0.1515,0.0893,0.0893
10000,"1-4",0.1,0.933,2.1785,2.1785,-2.7077,0.2917,0.2917
10000,"5-9",0,0.95,2.3309,2.3315,-13.0317,0.1742,0.1742
10000,"10-14",0.1,0.937,2.3057,2.3072,-9.3671,0.4267,0.4267
10000,"15-19",0.1,0.899,1.6423,1.6448,-0.9084,0.0784,0.0784
10000,"20-24",0.2,0.83,1.1953,1.1995,-0.3036,0.0928,0.0928
10000,"25-29",0.2,0.777,0.878,0.8781,-0.2563,-0.0186,-0.0186
10000,"30-34",0.3,0.704,0.5977,0.6007,-0.2055,0.0299,0.0299
10000,"35-39",0.5,0.605,0.2979,0.306,-0.1376,-0.0305,-0.0305
10000,"40-44",1,0.381,-0.0455,-0.0179,-0.0802,-0.0324,-0.0324
10000,"45-49",1.4,0.229,-0.1337,-0.0862,-0.0251,0.015,0.015
10000,"50-54",2,0.135,-0.2231,-0.1674,-0.0552,-0.0254,-0.0254
10000,"55-59",2.9,0.051,-0.1886,-0.1395,-0.0437,-0.0242,-0.0242
10000,"60-64",4.5,0.013,-0.1255,-0.0452,-0.0168,-0.0074,-0.0074
10000,"65-69",6.5,0.002,-0.0947,-0.0151,-0.021,-0.0113,-0.0113
10000,"70-74",9.2,0,-0.0578,0.0076,-0.01,-0.0019,-0.0019
10000,"75-79",9.2,0,-0.0448,-0.0169,-0.0021,0.0085,0.0085
10000,"80-84",13,0,-0.0488,-0.0165,-0.0102,-0.0049,-0.0049
10000,"85-89",14.5,0,-0.0394,-0.0168,-0.0063,-0.0027,-0.0027
10000,"90-94",10.7,0,-0.0449,-0.0264,-0.0033,0.0019,0.0019
10000,"95-99",4.6,0.008,-0.1217,-0.0827,-0.0146,2e-04,2e-04
10000,"100+",1,0.348,0.0058,0.0234,0.0234,0.064,0.064
50000,"0",1.1,0.322,-0.0692,-0.044,-0.009,0.0307,0.0307
50000,"1-4",0.3,0.743,0.7135,0.7214,-0.1568,0.0083,0.0083
50000,"5-9",0.2,0.777,0.8658,0.8723,-0.1342,0.068,0.068
50000,"10-14",0.3,0.781,0.8262,0.8262,-0.226,-0.0435,-0.0435
50000,"15-19",0.5,0.592,0.3386,0.3506,-0.0759,0.033,0.033
50000,"20-24",0.8,0.413,0.0529,0.0726,0.0077,0.0586,0.0586
50000,"25-29",1.2,0.29,-0.0865,-0.0702,0.007,0.0422,0.0422
50000,"30-34",1.7,0.17,-0.1668,-0.1173,0.0219,0.0455,0.0455
