"N","估計量","平均零格","alpha偏誤中位","alpha偏誤最大","SSE_beta","cor_beta","漂移偏誤","發散率"
10000,"A 標準 LC",206.1,0.1612,2.3309,7.9159,-0.074,0.3436,0
10000,"B 加權SVD(w=mu)",206.1,0.1128,2.3315,3.3193,0.068,0.2436,0
10000,"C 卜瓦松 MLE",206.1,0.0495,13.0317,15.5245,0.118,0.1612,0
10000,"D Firth",206.1,0.0248,0.4267,17.7966,0.116,0.2237,0
10000,"E Firth+FH",206.1,0.0248,0.4267,4.9839,0.125,0.2237,0
50000,"A 標準 LC",100.3,0.0611,0.8658,4.4494,0.037,0.3339,0
50000,"B 加權SVD(w=mu)",100.3,0.0553,0.8723,0.9039,0.201,0.1223,0
50000,"C 卜瓦松 MLE",100.3,0.0073,0.226,1.7564,0.365,0.0492,0
50000,"D Firth",100.3,0.0088,0.068,1.4102,0.397,0.0485,0
50000,"E Firth+FH",100.3,0.0088,0.068,0.143,0.542,0.0485,0
2e+05,"A 標準 LC",29.4,0.0231,0.1846,1.4004,0.379,0.2117,0
2e+05,"B 加權SVD(w=mu)",29.4,0.0234,0.1397,0.305,0.527,0.0393,0
2e+05,"C 卜瓦松 MLE",29.4,0.0018,0.0361,0.3464,0.596,0.0267,0
2e+05,"D Firth",29.4,0.0025,0.0398,0.3333,0.605,0.0262,0
2e+05,"E Firth+FH",29.4,0.0025,0.0398,0.0949,0.697,0.0262,0
