"N","估計量","平均零格","alpha偏誤中位","alpha偏誤最大","SSE_beta","cor_beta","漂移偏誤","發散率"
50000,"標準 LC",101.6,0.07,0.8658,3.5376,0.04,0.3144,0
50000,"卜瓦松 MLE",101.6,0.0119,0.2053,2.1655,0.298,0.0232,0
50000,"Firth",101.6,0.006,0.0882,1.7419,0.31,0.018,0
50000,"HeteroPCA",101.6,0.07,0.8658,1.9918,0.093,0.2247,0
50000,"HeteroPCA+FH",101.6,0.07,0.8658,0.3553,0.273,0.2247,0
50000,"MTL（保留 90%）",101.6,0.0276,0.4712,4.0821,0.222,0.0192,0
50000,"LTS（保留 90%）",101.6,0.019,0.7871,4.3107,0.041,0.3055,0
2e+05,"標準 LC",29.2,0.0148,0.1671,1.3409,0.39,0.2124,0
2e+05,"卜瓦松 MLE",29.2,0.0034,0.0367,0.3127,0.615,0.0015,0
2e+05,"Firth",29.2,0.0013,0.0271,0.2994,0.619,0.0016,0
2e+05,"HeteroPCA",29.2,0.0148,0.1671,0.6322,0.416,0.11,0
2e+05,"HeteroPCA+FH",29.2,0.0148,0.1671,0.1551,0.551,0.11,0
2e+05,"MTL（保留 90%）",29.2,0.0066,0.0836,0.3768,0.603,0.0016,0
2e+05,"LTS（保留 90%）",29.2,0.0081,0.2239,1.243,0.389,0.2124,0
