"年齡","beta_true","MTL保留率","LTS保留率","期望死亡中位"
"0",0.0496,0.98,0.88,111
"1-4",0.1066,0.99,0.36,28
"5-9",0.0697,1,0.52,24
"10-14",0.0442,1,0.6,25
"15-19",0.0578,0.99,0.71,50
"20-24",0.044,0.99,0.86,83
"25-29",0.0484,0.98,0.92,120
"30-34",0.0453,0.98,0.96,172
"35-39",0.0394,0.97,0.99,255
"40-44",0.0328,0.95,1,485
"45-49",0.0261,0.92,1,719
"50-54",0.029,0.93,1,992
"55-59",0.0442,0.86,1,1464
"60-64",0.0561,0.85,1,2259
"65-69",0.0686,0.86,1,3265
"70-74",0.0669,0.82,1,4619
"75-79",0.0528,0.8,1,4609
"80-84",0.0439,0.71,1,6487
"85-89",0.0319,0.71,1,7233
"90-94",0.0215,0.72,1,5328
"95-99",0.0135,0.85,1,2297
"100+",0.0078,0.94,1,503
