"N","年齡","零格比例","A 標準 LC（對照）","F 中位數 LC","G 加權中位數 LC"
10000,"0",1,0.9577,0.7844,0.7844
10000,"1-4",1,2.1785,2.1207,2.1207
10000,"5-9",1,2.3309,2.302,2.302
10000,"10-14",1,2.3057,2.2623,2.2623
10000,"15-19",1,1.6423,1.5845,1.5845
10000,"20-24",1,1.1953,1.0798,1.0798
10000,"25-29",1,0.878,0.7047,0.7047
10000,"30-34",1,0.5977,0.3498,0.3498
10000,"35-39",1,0.2979,-0.0427,-0.0427
10000,"40-44",0,-0.0455,-0.0129,0.0134
10000,"45-49",0,-0.1337,-0.138,-0.1658
10000,"50-54",0,-0.2231,-0.2056,-0.0847
10000,"55-59",0,-0.1886,-0.1611,-0.111
10000,"60-64",0,-0.1255,-0.0411,-0.0619
10000,"65-69",0,-0.0947,-0.0394,-0.0386
10000,"70-74",0,-0.0578,-0.0306,-0.0512
10000,"75-79",0,-0.0448,-0.008,-0.0117
10000,"80-84",0,-0.0488,-0.0216,-0.0237
10000,"85-89",0,-0.0394,-0.0087,-0.0268
10000,"90-94",0,-0.0449,-0.0082,-0.0233
10000,"95-99",0,-0.1217,-0.0549,-0.0436
10000,"100+",0,0.0058,-0.0111,-0.0111
50000,"0",0,-0.0692,-0.1319,-0.1319
50000,"1-4",1,0.7135,0.5113,0.5113
50000,"5-9",1,0.8658,0.6925,0.6925
50000,"10-14",1,0.8262,0.6529,0.6529
50000,"15-19",0.96,0.3386,0.0434,-0.0249
50000,"20-24",0,0.0529,0.0142,0.1635
50000,"25-29",0,-0.0865,-0.1699,-0.2116
50000,"30-34",0,-0.1668,-0.15,-0.1059
50000,"35-39",0,-0.1667,-0.1338,-0.1022
50000,"40-44",0,-0.13,-0.0354,-0.0352
50000,"45-49",0,-0.0831,-0.0413,-0.0413
50000,"50-54",0,-0.0508,-0.0076,-0.0076
50000,"55-59",0,-0.0297,-0.0152,-0.0118
50000,"60-64",0,-0.0331,-0.0299,-0.0125
50000,"65-69",0,-0.0144,-0.0091,-0.0111
50000,"70-74",0,-0.0135,-0.0119,-0.0079
50000,"75-79",0,-0.0139,-0.0109,-0.004
50000,"80-84",0,-0.0045,-0.0016,-0.0029
50000,"85-89",0,-0.0061,-0.0035,-0.0013
50000,"90-94",0,-0.0083,-0.0062,-0.0058
50000,"95-99",0,-0.0176,-0.0069,-0.0058
50000,"100+",0,-0.1352,-0.0269,-0.0111
2e+05,"0",0,-0.1395,-0.0555,-0.0514
2e+05,"1-4",0,-0.0878,-0.178,-0.1818
2e+05,"5-9",0,-0.033,-6e-04,-6e-04
2e+05,"10-14",0,-0.0367,-0.0402,-0.0402
2e+05,"15-19",0,-0.1846,-0.1357,-0.0249
2e+05,"20-24",0,-0.1357,-0.1193,-0.1045
2e+05,"25-29",0,-0.1117,-0.0287,-0.0319
2e+05,"30-34",0,-0.0884,-0.0309,-0.0211
2e+05,"35-39",0,-0.0642,-0.0306,-0.0347
2e+05,"40-44",0,-0.0244,-0.0023,-8e-04
2e+05,"45-49",0,-0.0219,-0.0107,-0.0124
2e+05,"50-54",0,-0.0091,-0.0031,-3e-04
2e+05,"55-59",0,-0.0096,-0.0047,-0.0024
2e+05,"60-64",0,-0.0028,-0.0023,-8e-04
2e+05,"65-69",0,-0.0011,-8e-04,-0.0014
2e+05,"70-74",0,-0.0029,0.0015,4e-04
2e+05,"75-79",0,-0.0024,-0.0048,-9e-04
2e+05,"80-84",0,-0.0016,-5e-04,9e-04
2e+05,"85-89",0,-0.0011,-0.0028,-0.0027
2e+05,"90-94",0,-0.0023,-0.0026,-0.0037
2e+05,"95-99",0,-0.0025,0.0012,4e-04
2e+05,"100+",0,-0.0266,-0.0111,-0.0099
