"N","估計量","e0配適偏誤","e0配適RMSE","e0預測偏誤","e0預測RMSE"
10000,"標準 LC",-3.621,3.621,-5.105,5.105
10000,"加權 SVD",-3.241,3.242,-4.019,4.02
10000,"卜瓦松 MLE",-0.82,0.961,-2.981,2.981
10000,"Firth",-1.327,1.327,-2.957,2.957
10000,"Firth+FH",-1.176,1.257,-2.667,2.689
50000,"標準 LC",-1.48,1.48,-2.664,2.664
50000,"加權 SVD",-0.394,0.494,-0.633,0.683
50000,"卜瓦松 MLE",-0.202,0.351,-0.512,0.609
50000,"Firth",-0.282,0.361,-0.57,0.661
50000,"Firth+FH",-0.182,0.427,-0.166,0.592
2e+05,"標準 LC",-0.899,0.899,-2.011,2.011
2e+05,"加權 SVD",-0.123,0.212,-0.142,0.258
2e+05,"卜瓦松 MLE",-0.031,0.2,-0.086,0.242
2e+05,"Firth",-0.05,0.2,-0.098,0.247
2e+05,"Firth+FH",0,0.214,0.072,0.314
