"年齡","真值死亡率","標準LC貢獻","Firth貢獻","標準LC占比"
"0",0.00353,-0.0028,-0.0097,0.2
"1-4",0.000155,-0.1019,-0.0018,7.4
"5-9",9.33e-05,-0.075,-0.0086,5.5
"10-14",0.000107,-0.0605,-0.0011,4.4
"15-19",0.000198,-0.0435,-0.009,3.2
"20-24",0.000276,-0.02,-0.004,1.5
"25-29",0.000329,-0.0012,-0.0122,0.1
"30-34",0.000453,0.009,-0.0058,0.7
"35-39",0.000662,0.0176,-0.0049,1.3
"40-44",0.00103,0.0022,-0.0066,0.2
"45-49",0.00159,5e-04,-0.0017,0
"50-54",0.00237,-0.0157,-0.0083,1.1
"55-59",0.00329,-0.0391,-0.0051,2.8
"60-64",0.00486,-0.0876,-0.0105,6.4
"65-69",0.00747,-0.1555,-0.0086,11.3
"70-74",0.0131,-0.1856,-0.0175,13.5
"75-79",0.0246,-0.1855,-0.0163,13.5
"80-84",0.0473,-0.1872,-0.0413,13.6
"85-89",0.0899,-0.1286,-0.0176,9.4
"90-94",0.161,-0.0416,-0.0089,3
"95-99",0.259,-0.0083,-0.0068,0.6
"100+",0.404,0.006,0.002,0.4
